Year,Period,Month,Avg_Rainfall,Avg_Temp
2010,Monthly,JAN,69.5,0.8
2010,Monthly,FEB,71.7,1.6
2010,Monthly,MAR,65.1,5.5
2010,Monthly,MAY,22.1,9.8
2010,Monthly,JUN,42.7,14.3
2010,Monthly,JUL,61.1,16.4
2010,Monthly,SEP,83.9,13.4
2010,Monthly,OCT,65,9.6
2010,Monthly,NOV,118.2,4.5
2010,Monthly,DEC,40.7,-1.2
2011,Monthly,JAN,54.5,3.1
2011,Monthly,FEB,82,5.4
2011,Monthly,MAR,20.5,6
2011,Monthly,MAY,48.5,11.5
2011,Monthly,JUN,62.9,13.5
2011,Monthly,JUL,71.7,14.4
2011,Monthly,AUG,97,15
2011,Monthly,SEP,43.2,14.3
2011,Monthly,OCT,62.1,11.4
2011,Monthly,NOV,35.6,8.5
2011,Monthly,DEC,76.2,4.5
2012,Monthly,JAN,47.2,4.3
2012,Monthly,FEB,24.2,3.9
2012,Monthly,MAR,21.9,7.8
2012,Monthly,MAY,62.3,10.3
2012,Monthly,JUN,141.5,12.5
2012,Monthly,JUL,96.3,14.6
2012,Monthly,SEP,95.3,12.5
2012,Monthly,OCT,86.4,8.2
2012,Monthly,NOV,111.8,5.8
2012,Monthly,DEC,127.7,3.6